TITLE,AUTHOR,DISCOVERY,STATUS
A Short History of Nearly Everything,Bill Bryson,Axolot,Wish
A World of Curiosities,John Oldale,Axolot,Wish
L'Atlas des Lieux Maudits,Oliver Le Carrer,Axolot,Wish
Petit Traité de Bizarrologie,Richard Wiseman,Axolot,Wish
Moonwalking with Einstein : The Art and Science of Remembering Everything,Joshua Foer,Axolot,Wish
Improbabologie et au-delà,Pierre Barthélémy,Axolot,Wish
Elephant on Acid,Alex Boese,Axolot,Wish
Electrified Sheep,Alex Boese,Axolot,Wish
The God Delusion,,,
The Panda's Thumb,,,
Les identitées meutrières,Amin Mahalouf,Ulysse,Wish
